SPECIMEN_SOURCE	LOINC	LOINC_CD_KEY	LOAD_DATE
BLD	704-7	124429	2017-09-07
BLD	705-4	124540	2017-09-07
BLD	706-2	124649	2017-09-07
BLD	707-0	124757	2017-09-07
SER_PLAS_BLD	70969-1	125053	2020-12-11
BLD	711-2	125198	2017-09-07
BLD	712-0	125309	2017-09-07
BLD	713-8	125418	2017-09-07
BLD	714-6	125526	2017-09-07
BLD	71426-1	125556	2020-12-11
BLD	71427-9	125557	2020-12-11
BLD	718-7	125956	1900-01-01
BLDV	71841-1	126003	2020-12-11
BLDC	71842-9	126004	2020-12-11
BLDA	71843-7	126005	2020-12-11
BLD	71844-5	126006	2020-12-11
BLDV	71845-2	126007	2020-12-11
BLDMV	71846-0	126008	2020-12-11
BLDC	71851-0	126014	2020-12-11
BLDA	71852-8	126015	2020-12-11
BLD	71853-6	126016	2020-12-11
SER_PLAS	72171-2	126365	2018-01-25
AMNIO_FLD	72925-1	127186	2020-12-11
BLD	731-0	127376	2017-09-07
BLD	732-8	127487	2017-09-07
SER	73559-7	127884	2017-09-07
BLD	736-9	127928	2017-09-07
BLD	737-7	128038	2017-09-07
BLD	740-1	128364	2020-12-11
BLDMV	74105-8	128479	2020-12-11
BLD	742-7	128582	2017-09-07
BLD	743-5	128680	2017-09-07
BLD	744-3	128791	2017-09-07
BLD	74464-9	128862	2017-04-01
BLD	749-2	129335	2020-12-11
BLD	751-8	129553	2017-09-07
SER_PLAS	75241-0	129704	2017-09-07
BLD	753-4	129738	2017-09-07
BLD	770-8	129911	2017-09-07
BLD	776-5	129974	2020-12-11
BLD	777-3	129985	2017-04-01
BLD	778-1	129995	2017-04-01
PPP	7799-0	130015	2020-12-11
BLD	783-1	130046	2020-12-11
BLD	785-6	130068	2017-09-07
SER	7852-7	130071	2017-09-07
SER	7853-5	130072	2017-09-07
BLD	786-4	130079	2017-09-07
BLD	787-2	130090	2017-09-07
BLD	788-0	130100	2017-09-07
BLD	789-8	130111	2017-09-07
BLD	790-6	130123	2017-09-07
SER_PLAS	7905-3	130129	2017-09-07
SER	7909-5	130133	2017-09-07
SER	7910-3	130135	2017-09-07
SER	7912-9	130137	2017-09-07
SER	7913-7	130138	2017-09-07
SER	8014-3	130249	2017-09-07
SER	8015-0	130250	2017-09-07
SER	8039-0	130276	2017-09-07
BLD	804-5	130277	2017-09-07
SER	8040-8	130278	2017-09-07
BLD	8123-2	130367	2017-09-07
BLD	882-1	131084	2020-12-11
BLD	883-9	131095	2021-02-17
BLDC	884-7	131106	2020-12-11
SER	9422-7	131731	2017-09-07
CSF	9741-0	132066	2017-09-07
RBC	978-7	132106	2021-02-17
SER_PLAS	9830-1	132162	2017-09-07
SER_PLAS_BLD	76399-5	133554	2021-02-17
SER_PLAS	76485-2	133635	2020-12-11
SER_PLAS	76486-0	133636	2020-12-11
BLD	76625-3	133770	2020-12-11
BLD	76631-1	133776	2020-12-11
BLD	76633-7	133778	2020-12-11
SER_PLAS_BLD	77137-8	134282	2020-12-11
SER_PLAS_BLD	77140-2	134285	2020-12-11
SER_PLAS_BLD	77144-4	134289	2020-12-11
SER_PLAS_BLD	77147-7	134292	2020-12-11
SER_PLAS_BLD	77148-5	134293	2020-12-11
BLD	77307-7	134452	2017-09-07
BLD	77397-8	134542	2020-12-11
SER_PLAS	81324-6	138369	2018-01-25
BLD	82477-1	148168	2020-12-11
BLDV	89871-8	163878	2020-12-11
SER_PLAS	89579-7	164885	2021-02-17
BLDA	89872-6	164937	2020-12-11
SER_PLAS	89576-3	165076	2020-12-11
SER_PLAS	89577-1	165077	2020-12-11
SER_PLAS_BLD	88293-6	165192	2020-12-11
BLD	91556-1	165796	2020-12-11
SER_PLAS_BLD	88294-4	168032	2020-12-11
SER_PLAS	88112-8	214015	2020-12-11
